#
# Afghanistan
#
Year,  US,  UK, Other,  Total
2001,  12,   0,   0,     12
2002,  49,   3,  18,     70
2003,  48,   0,  10,     58
2004,  52,   1,   7,     60
2005,  99,   1,  31,    131
2006,  98,  39,  54,    191
2007, 117,  42,  73,    232
2008, 155,  51,  89,    295
2009, 317, 108,  96,    521
2010, 498, 103, 109,    710
2011, 415,  46, 102,    563
2012, 310,  44,  48,    402
2013, 128,   9,  25,    162
2014,  55,   6,  14,     75
2015,  22,   2,   2,     26
2016,  13,   0,   2,     15
2017,  15,   0,   2,     17
2018,  14,   0,   5,     19
2019,  24,   0,   2,     26
2020,  11,   0,   0,     11
2021,  13,   0,   0,     13

#
#
#    2452, 455, 689, 3596
#
# Totals 
#
# From:
#
#   http://www.icasualties.org/
#


# --- END --- #

